type,weight,source,target
partnership,0.8158522,2989,39
membership,0.822792,2989,903311212
family_relationship,0.84707993,967,Faroe Islands Shrimp Shark
membership,0.8008407,185106,df42b319-be6a-4a2e-b11d-c4da7ecfc01c
membership,0.80211127,947,Gregory Ortiz
family_relationship,0.81235206,947,750975
family_relationship,0.9659513,947,4348721
family_relationship,0.9695658,947,USS Hershel
family_relationship,0.8072874,947,Michael Compton
family_relationship,0.84734964,947,b20c0baf-8530-4a84-a5b6-8da324ebebdb
ownership,0.8474455,947,33560
family_relationship,0.83156615,947,979893388
membership,0.83814067,947,Ocean Fisheries Llc
family_relationship,0.82987636,Michael Compton,Gregory Ortiz
family_relationship,0.8400339,Michael Compton,b20c0baf-8530-4a84-a5b6-8da324ebebdb
family_relationship,0.82857007,Michael Compton,979893388
family_relationship,0.97005975,4348721,USS Hershel
family_relationship,0.8511437,4348721,Gregory Ortiz
family_relationship,0.80471647,4348721,Michael Compton
family_relationship,0.8480846,4348721,b20c0baf-8530-4a84-a5b6-8da324ebebdb
family_relationship,0.82456464,4348721,979893388
family_relationship,0.8527388,b20c0baf-8530-4a84-a5b6-8da324ebebdb,979893388
family_relationship,0.82555556,b20c0baf-8530-4a84-a5b6-8da324ebebdb,Playa del Cielo Kga
membership,0.89106584,21538,7691
membership,0.84831125,21538,Sierra Smith
membership,0.8528332,21538,629
membership,0.81453395,21538,43685541
membership,0.86178976,21538,DOFâs
membership,0.81928784,21538,435054320
ownership,0.8251751,21538,Cutters
membership,0.84836704,21538,7298083
membership,0.828156,21538,Fishisland
partnership,0.84341794,21538,565431
partnership,0.86967415,21538,16927047
partnership,0.88945866,21538,30041
partnership,0.9049782,21538,6471708
partnership,0.8755225,21538,520673
ownership,0.8525582,21538,Maurice Figueroa
membership,0.82358783,21538,5680682
partnership,0.84418285,21538,Estrella de Mar Limited Liability Company Delivery
ownership,0.158,21538,52193
membership,0.8252724,21538,SeaSpray Wave SRL Solutions
partnership,0.80765563,21538,903311212
ownership,0.80860746,860600018,0f5fd4f9-1683-464e-9459-a4488de5064b
partnership,0.9248772,860600018,Joshua Baker
family_relationship,0.8902765,860600018,6393
ownership,0.90023637,860600018,Kimberly Lara
family_relationship,0.8851155,860600018,months years
ownership,0.913733,860600018,morningâs
ownership,0.84307534,860600018,Anna Thomas MD
membership,0.84929866,860600018,Bergmanâs
membership,0.8534443,860600018,Stacey Ortiz
membership,0.862157,860600018,637608
family_relationship,0.94817984,860600018,John Gonzalez
family_relationship,0.92555124,860600018,e53552bc-174b-4799-b96b-c23cfa0731cb
family_relationship,0.8881786,860600018,5337
partnership,0.9220471,860600018,838200939
partnership,0.8151574,860600018,2243528
partnership,0.8394379,860600018,460859346
membership,0.8740917,Victoria Anderson,âSo
membership,0.84477633,USCGC Spencer,WMEC
membership,0.8192324,435054320,Cutter
membership,0.90789753,435054320,Brian Weber
ownership,0.88352495,435054320,weeks
ownership,0.8177652,435054320,40213337
ownership,0.90801513,435054320,cutters
membership,0.90199476,435054320,8327
family_relationship,0.9028843,435054320,7505050
family_relationship,0.96243066,435054320,Teresa Rivera
ownership,0.8539488,435054320,Conduct Joint
membership,0.81639224,435054320,341411
family_relationship,0.90449923,435054320,e1d7b4ac-ed31-42a4-9375-4afb0f78f276
family_relationship,0.8544316,435054320,Mary Horton
family_relationship,0.889425,435054320,Linda Sherman
ownership,0.8105779,435054320,Jeremy Norris
membership,0.9077072,435054320,Angela Spencer
membership,0.8222405,435054320,Jenna Barton
ownership,0.9261155,435054320,f7a4114d-d1ca-44df-a7e0-c72e440671ba
ownership,0.8629763,435054320,f9f6fc72-83db-4c44-a818-dde6c33985f9
ownership,0.81956905,435054320,Master
family_relationship,0.81258255,435054320,7298083
membership,0.8709453,435054320,39
ownership,0.8100961,435054320,USCGC
ownership,0.80227476,435054320,Kristi Weeks
membership,0.8094904,435054320,Tyler Brown
partnership,0.89097375,435054320,Coast Guard Cutter Edgar Culbertson
membership,0.85379094,435054320,Fisherman'sFriend Charter Boat S.A. de C.V. Freight 
ownership,0.91270125,435054320,863749817
ownership,0.83613294,435054320,567217
membership,0.80222934,435054320,48
ownership,0.89469075,435054320,475
membership,0.8028433,435054320,Oliver
membership,0.85862243,435054320,Amanda Becker
membership,0.8124797,435054320,Frederick Hunter
membership,0.92230374,435054320,âThese
partnership,0.8676915,435054320,Linda Holden
partnership,0.84074193,435054320,Donna Romero
partnership,0.85429394,435054320,Amanda Garcia
partnership,0.856871,435054320,75471
partnership,0.83376217,435054320,19471
family_relationship,0.82423073,435054320,Tyler Flores
partnership,0.88217443,435054320,Wendy Crane
membership,0.92485267,435054320,Danielle Perry
membership,0.8530071,435054320,5495
membership,0.85434955,435054320,Cutters
membership,0.8972628,435054320,Fishisland
ownership,0.8061464,435054320,CraftâLaw
ownership,0.8272686,435054320,Scott Medina
partnership,0.8091495,435054320,8851578d-3dd7-4430-8f73-b95305eb1f03
family_relationship,0.9427206,435054320,Andrew Harrison
ownership,0.91365504,435054320,90411963
partnership,0.80482143,435054320,USS
family_relationship,0.8949433,435054320,979893388
family_relationship,0.82426447,435054320,Playa del Cielo Kga
ownership,0.83293635,435054320,SeaSpray Wave SRL Solutions
ownership,0.8217112,435054320,SeaSpray Wave SRL Solutions
partnership,0.82565415,435054320,SeaSpray Wave SRL Solutions
ownership,0.84258646,435054320,png xi  Line
ownership,0.8167687,435054320,903311212
ownership,0.8102828,435054320,903311212
membership,0.89181435,435054320,Mar del Oeste Pic
family_relationship,0.9273689,435054320,Mar del Oeste Pic
membership,0.8832654,Cutter,88a1fe65-33d9-487a-a3ac-d4208f41b754
ownership,0.83142996,f21800ca-b3c9-404b-8438-3d75ea84c409,1560
family_relationship,0.9120255,f21800ca-b3c9-404b-8438-3d75ea84c409,Sept
family_relationship,0.92507285,f21800ca-b3c9-404b-8438-3d75ea84c409,John Gonzalez
ownership,0.8169609,f21800ca-b3c9-404b-8438-3d75ea84c409,Margaret Shields
partnership,0.8713038,f21800ca-b3c9-404b-8438-3d75ea84c409,Rebecca Adams
membership,0.8382731,f21800ca-b3c9-404b-8438-3d75ea84c409,Michael Reed
membership,0.9091895,f21800ca-b3c9-404b-8438-3d75ea84c409,Jessica Hernandez
ownership,0.8443904,f21800ca-b3c9-404b-8438-3d75ea84c409,4962642
membership,0.893423,f21800ca-b3c9-404b-8438-3d75ea84c409,Faroe Islands Shrimp Shark
ownership,0.9035101,f21800ca-b3c9-404b-8438-3d75ea84c409,979893388
ownership,0.89229774,f21800ca-b3c9-404b-8438-3d75ea84c409,png xi  Line
ownership,0.88240564,1560,47249
ownership,0.869348,1560,23399545
ownership,0.88023883,1560,829
ownership,0.7091,1560,Seabreeze Foods Ltd. Corporation United
ownership,0.1436,1560,su y CJSC Canal
family_relationship,0.8778388,1560,979893388
family_relationship,0.8788118,Sept,John Gonzalez
ownership,0.91629285,Sept,Dry Creek S.p.A. Overseas
membership,0.8926941,Sept,Linda Sherman
ownership,0.87506497,Sept,77b46bc7-7e31-41a0-973c-e633011d21b0
family_relationship,0.8623327,Sept,93865
membership,0.84824204,Sept,Paul Wiley
ownership,0.85026693,Sept,Miranda Long
membership,0.88797146,Sept,Amanda Mckenzie
membership,0.8858796,Sept,Michelle Kelley
membership,0.9012061,Sept,Austin Simpson
membership,0.81589353,Sept,su y CJSC Canal
membership,0.80036557,Sept,Marvin Everett
membership,0.86167186,Sept,Robert Vega
membership,0.8216848,Sept,ââ
membership,0.88275135,Sept,Angela Powers
ownership,0.82856965,Sept,Joseph Williams
membership,0.81330615,Sept,Seth Kelley
ownership,0.9075313,Sept,Christopher Miller
ownership,0.83975524,Sept,Scott Anderson
membership,0.8352631,Sept,Jeremy Woodard
membership,0.9118725,Sept,âenticedâ
family_relationship,0.89468217,Sept,Angel Burnett
family_relationship,0.8847501,Sept,Jose Smith
ownership,0.83546007,Sept,2037/09
family_relationship,0.9250021,Sept,979893388
family_relationship,0.8588529,John Gonzalez,e53552bc-174b-4799-b96b-c23cfa0731cb
family_relationship,0.8065146,John Gonzalez,5337
family_relationship,0.8397846,John Gonzalez,637608
family_relationship,0.80954653,John Gonzalez,Emily Kennedy
family_relationship,0.8180333,John Gonzalez,Melissa Bates
membership,0.8240808,John Gonzalez,5007554
membership,0.88660455,John Gonzalez,Faroe Islands Shrimp Shark
family_relationship,0.80070466,John Gonzalez,979893388
ownership,0.9276305,John Gonzalez,Ocean Fisheries Llc
family_relationship,0.90578145,68703341,57
family_relationship,0.8989146,68703341,1560
family_relationship,0.8277581,57,1560
partnership,0.95853525,57,Luis Jones
partnership,0.90526116,57,c01c6a10-60c9-4f11-9409-aa04c3963826
partnership,0.9311787,57,17232
partnership,0.8751962,57,Derek Burke
partnership,0.92652833,57,51
ownership,0.9260833,57,f810c631-9f7d-4219-ade0-b44c4c9abf62
membership,0.91261345,57,Ms. Stephanie Rivera DDS
ownership,0.89026713,57,Morgan Bell
ownership,0.8292334,57,Melissa Norman
partnership,0.8331045,6046437,03b6c1a6-dcd8-462f-9a7e-bf9ea7e0a987
partnership,0.9148996,6046437,Act
membership,0.8785158,6046437,Kilimanjaro fishery Ltd. Liability Co Transport
family_relationship,0.8406826,6046437,3590dd7e-a6cd-416d-9b42-68f692ad83ee
partnership,0.94232637,03b6c1a6-dcd8-462f-9a7e-bf9ea7e0a987,Act
membership,0.81175643,Act,86dc0f8c-7305-4c1e-b655-cf16eefd6fce
family_relationship,0.8501684,Act,8164acdd-514f-4e18-867c-4bc63cebf15b
partnership,0.9649235,Act,April James
family_relationship,0.88519096,Act,Wendy Duarte
family_relationship,0.81623405,Act,Alexis Murphy
membership,0.9031147,Act,138782226
membership,0.84486806,Act,688224
family_relationship,0.8533534,9a651d73-d88f-4f9c-9497-7321ef575c6f,Natasha Phillips
family_relationship,0.85879016,36351742-aff4-4df7-a495-1f1f2c94127a,Natasha Phillips
family_relationship,0.87011904,Dakota Hansen,301
family_relationship,0.83454746,Dakota Hansen,James Best
partnership,0.83176684,301,James Best
family_relationship,0.8086659,9203,Lindsay Bennett
family_relationship,0.9149422,9203,903311212
family_relationship,0.94355357,3878194,Amy Kent
family_relationship,0.862938,3878194,Spanish Shrimp  Carriers
family_relationship,0.81212777,3878194,Conventionâ
family_relationship,0.94693303,3878194,Stephanie Garner
family_relationship,0.8438353,monthsâ,18
family_relationship,0.8428989,monthsâ,months
family_relationship,0.90362954,18,months
ownership,0.82698333,18,Tian
ownership,0.91415936,18,png xi  Line
membership,0.94795734,months,Michael Porter
membership,0.9683366,months,periods years
partnership,0.87968254,months,Danielle Camacho
membership,0.80160046,months,46
membership,0.80931294,months,65fea097-e838-4be6-9889-83f5361fe777
ownership,0.86076695,months,1710a32e-7a58-4d7f-9c5e-bf897b7419a3
ownership,0.93167627,months,Sherry Richmond
family_relationship,0.8408124,months,Tyler Flores
ownership,0.81154996,months,2466
ownership,0.9321707,months,days
ownership,0.82711935,months,hours
partnership,0.9060808,months,14bda3bb-9993-4265-97cc-1747808c144e
membership,0.97052246,months,858
family_relationship,0.963908,months,Alyssa Gonzalez
membership,0.8256703,months,Michael Brock
membership,0.94622797,months,941899076
membership,0.87102973,months,weeks 55
partnership,0.9009709,months,Emily Norton
membership,0.80143034,months,68ac10aa-80a3-4b3c-99e5-f5708715ab2c
ownership,0.80695677,months,365
family_relationship,0.8809204,months,Sara Fleming
membership,0.88213795,months,353
membership,0.87927777,months,entire 2036
membership,0.82892907,months,Playa del Cielo Kga
membership,0.8601145,months,Playa del Cielo Kga
ownership,0.80037636,months,Ocean Fisheries Llc
family_relationship,0.8695117,Emily Johnson,Isa
family_relationship,0.87350196,Emily Johnson,Robert Vega
family_relationship,0.8581917,Emily Johnson,858
family_relationship,0.838071,Emily Johnson,Andrea Gibson
family_relationship,0.8237205,Emily Johnson,Faroe Islands Shrimp Shark
ownership,0.83965176,94,Alan Wells
partnership,0.8662105,e85c691a-2adc-4094-8d29-5ea328486951,47679
partnership,0.8430924,e85c691a-2adc-4094-8d29-5ea328486951,651
partnership,0.9205062,e85c691a-2adc-4094-8d29-5ea328486951,Joshua Baker
family_relationship,0.85935116,e85c691a-2adc-4094-8d29-5ea328486951,1225
partnership,0.93991554,e85c691a-2adc-4094-8d29-5ea328486951,Alan Wells
partnership,0.8164063,760079,3009706
membership,0.817068,760079,Cody Lewis
ownership,0.8337866,41870892-4565-42cd-9374-8665d01e9aa9,ab195b55-453e-4436-ab0c-9f5660b4ec8c
ownership,0.8498051,41870892-4565-42cd-9374-8665d01e9aa9,22a2062d-03d8-48c3-9e91-9e5930b8d29f
ownership,0.8934863,41870892-4565-42cd-9374-8665d01e9aa9,Joseph Gonzales
ownership,0.8363761,41870892-4565-42cd-9374-8665d01e9aa9,Cindy Ritter
ownership,0.8569726,41870892-4565-42cd-9374-8665d01e9aa9,128692
ownership,0.8798054,41870892-4565-42cd-9374-8665d01e9aa9,5441
ownership,0.8397438,41870892-4565-42cd-9374-8665d01e9aa9,199442
ownership,0.8232111,41870892-4565-42cd-9374-8665d01e9aa9,829
ownership,0.8437683,41870892-4565-42cd-9374-8665d01e9aa9,47679
ownership,0.8922229,41870892-4565-42cd-9374-8665d01e9aa9,995899
ownership,0.85896164,41870892-4565-42cd-9374-8665d01e9aa9,1560
ownership,0.8631839,41870892-4565-42cd-9374-8665d01e9aa9,47249
ownership,0.8574633,41870892-4565-42cd-9374-8665d01e9aa9,23399545
partnership,0.94302934,41870892-4565-42cd-9374-8665d01e9aa9,6b19fec0-f5d4-4d31-b461-fef270debb3e
partnership,0.9529963,41870892-4565-42cd-9374-8665d01e9aa9,Brett Lopez
family_relationship,0.8091516,80191,7023
membership,0.87430567,80191,John Hutchinson
membership,0.9469163,80191,âcardingâ
partnership,0.8716943,80191,Mar del Oeste Pic
membership,0.8424492,0f5fd4f9-1683-464e-9459-a4488de5064b,Fish Sea
membership,0.85068756,0f5fd4f9-1683-464e-9459-a4488de5064b,Sea Products
membership,0.8021633,0f5fd4f9-1683-464e-9459-a4488de5064b,dbb07e32-a8f4-47d0-ae61-c2e9774e9284
family_relationship,0.89951974,cookies,âAccept Allâ
family_relationship,0.92209876,cookies,Barco de Plata Ltd Logistics
family_relationship,0.85016114,Ashley Davis,924
membership,0.82738465,924,97
membership,0.80999166,924,2262
family_relationship,0.8160349,924,86597
partnership,0.8947081,924,oceanâs
family_relationship,0.85732895,924,71755
partnership,0.3594,924,Olas del Sur Inc
family_relationship,0.8881509,865275,2262
family_relationship,0.92137766,865275,439861274
membership,0.831453,865275,908724
membership,0.83177274,865275,3785
partnership,0.87958366,865275,164575
membership,0.83781236,865275,Spencer King
membership,0.816387,865275,Andrea Hansen
family_relationship,0.9471812,865275,ânecessaryâ
family_relationship,0.8807496,865275,883320938
membership,0.8992149,865275,2030â
membership,0.83889115,449308,28
membership,0.83063155,449308,185040354
ownership,0.8471049,449308,99661834
partnership,0.8282243,28,83
partnership,0.88845915,28,23777
family_relationship,0.8055103,28,2262
membership,0.8156002,28,Lake Malawi LC Forwading
partnership,0.8027963,28,Playa del Cielo Kga
partnership,0.8798123,23777,28
membership,0.90562797,23777,3129
membership,0.928573,23777,6780
ownership,0.87041277,426469,132
membership,0.9252985,426469,Ocean Fisheries Llc
membership,0.85956305,426469,Mar del Oeste Pic
family_relationship,0.92228395,3cda9d0b-77af-4e85-bef8-e935ca55ea06,png xi  Line
family_relationship,0.9215247,3cda9d0b-77af-4e85-bef8-e935ca55ea06,95
family_relationship,0.8684586,3cda9d0b-77af-4e85-bef8-e935ca55ea06,865275
partnership,0.84964544,200640636,664738735
partnership,0.87575036,200640636,3506021
partnership,0.838243,200640636,300668979
partnership,0.8841057,200640636,Stacey Ortega
partnership,0.8247016,23,341411
partnership,0.90637326,23,664738735
partnership,0.82554525,23,486
partnership,0.8233624,23,87339689
ownership,0.89478517,23,522017227
family_relationship,0.83704793,23,29
partnership,0.8158771,23,Maria Mitchell
ownership,0.86730903,23,47679
partnership,0.919749,23,34
membership,0.8959298,23,Dana Goodwin
ownership,0.9039205,23,2198
ownership,0.9236523,23,95
partnership,0.8234995,23,132
partnership,0.8440397,23,Deepwater Horizon
partnership,0.9390002,23,Kerala Market Corp Consulting
ownership,0.8451724,23,507470
ownership,0.8551727,23,98
partnership,0.8388522,23,6457
partnership,0.82290095,23,6513816
partnership,0.8279284,23,43797101
partnership,0.86128634,23,535955126
partnership,0.8553386,23,8211361
partnership,0.84086764,23,3d009ee1-0d95-4516-802f-8a5110bde01e
membership,0.9290091,23,3129
membership,0.9440064,23,6780
ownership,0.9335465,23,Chris Booth
membership,0.90642667,23,e916e286-85e5-4a43-b2ef-89ad5260ebdc
membership,0.8962107,23,Ocean Fisheries Llc
partnership,0.8137396,144431,6064a564-2a82-44b7-8614-3a33f25e41ba
ownership,0.89456236,Debbie Daniel,664738735
family_relationship,0.9017954,png xi  Line,95
partnership,0.9147561,png xi  Line,664738735
membership,0.86666757,png xi  Line,l y S.A. de C.V. International
membership,0.9336239,png xi  Line,ipoa-iuu
ownership,0.8032357,png xi  Line,19
ownership,0.86216015,png xi  Line,Xavier Sanchez
ownership,0.89037967,png xi  Line,Raymond King
partnership,0.053,png xi  Line,924
partnership,0.8885949,png xi  Line,255â273
family_relationship,0.89003825,png xi  Line,165e0fe7-6725-4f4c-abc1-3ef485a939b0
ownership,0.94129115,png xi  Line,903311212
partnership,0.8009592,png xi  Line,903311212
partnership,0.832728,png xi  Line,903311212
partnership,0.8643963,png xi  Line,903311212
ownership,0.8553529,png xi  Line,903311212
membership,0.89070755,png xi  Line,903311212
partnership,0.8781442,png xi  Line,903311212
family_relationship,0.80163795,png xi  Line,903311212
partnership,0.8760898,png xi  Line,903311212
membership,0.86450547,png xi  Line,903311212
ownership,0.8350977,png xi  Line,903311212
ownership,0.88501906,png xi  Line,Victoria Parks
ownership,0.8298293,png xi  Line,7298083
family_relationship,0.88415015,png xi  Line,2262
membership,0.8376447,png xi  Line,Ocean Fisheries Llc
family_relationship,0.87791353,png xi  Line,Ocean Fisheries Llc
family_relationship,0.9459805,png xi  Line,Ocean Fisheries Llc
membership,0.8764522,png xi  Line,Ocean Fisheries Llc
membership,0.80191606,png xi  Line,Ocean Fisheries Llc
partnership,0.81862104,png xi  Line,Ocean Fisheries Llc
partnership,0.80598444,png xi  Line,Ocean Fisheries Llc
partnership,0.8878622,png xi  Line,Ocean Fisheries Llc
ownership,0.84608066,png xi  Line,Ocean Fisheries Llc
membership,0.8502158,png xi  Line,Ocean Fisheries Llc
ownership,0.80029696,png xi  Line,Ocean Fisheries Llc
partnership,0.84429306,png xi  Line,Ocean Fisheries Llc
partnership,0.89035624,png xi  Line,494197
partnership,0.88364136,png xi  Line,865275
membership,0.87335443,png xi  Line,Ashley Wiggins
family_relationship,0.8786214,png xi  Line,410
family_relationship,0.8157118,png xi  Line,Tamil Nadu S.p.A.
family_relationship,0.810869,png xi  Line,Tamil Nadu S.p.A.
partnership,0.8412652,png xi  Line,Tamil Nadu S.p.A.
membership,0.88114697,png xi  Line,water
family_relationship,0.81522816,png xi  Line,185040354
membership,0.8842793,png xi  Line,185040354
ownership,0.811815,png xi  Line,657
ownership,0.9165995,png xi  Line,George Ramirez
ownership,0.8335814,png xi  Line,Christopher Cunningham
family_relationship,0.85339373,png xi  Line,290834957
membership,0.82891554,png xi  Line,Faroe Islands Shrimp Shark
membership,0.82417727,png xi  Line,Faroe Islands Shrimp Shark
family_relationship,0.88416606,png xi  Line,Faroe Islands Shrimp Shark
membership,0.8110098,png xi  Line,Faroe Islands Shrimp Shark
family_relationship,0.8572825,png xi  Line,Faroe Islands Shrimp Shark
membership,0.8535842,png xi  Line,hours
membership,0.829605,png xi  Line,Rybachit Limited Liability Company
membership,0.8257876,png xi  Line,âsinkâ
family_relationship,0.80976695,png xi  Line,Stephanie Robinson
partnership,0.87712175,png xi  Line,341411
partnership,0.90758586,png xi  Line,341411
membership,0.9065803,png xi  Line,341411
membership,0.83757,png xi  Line,Water World LLC Express
membership,0.95355225,png xi  Line,SeaSpray Wave SRL Solutions
ownership,0.87993103,png xi  Line,SeaSpray Wave SRL Solutions
partnership,0.89081585,png xi  Line,SeaSpray Wave SRL Solutions
membership,0.8451997,png xi  Line,SeaSpray Wave SRL Solutions
ownership,0.8093878,png xi  Line,SeaSpray Wave SRL Solutions
partnership,0.80891407,png xi  Line,SeaSpray Wave SRL Solutions
membership,0.82757044,png xi  Line,SeaSpray Wave SRL Solutions
partnership,0.8205523,png xi  Line,SeaSpray Wave SRL Solutions
membership,0.8190441,png xi  Line,SeaSpray Wave SRL Solutions
partnership,0.9540108,png xi  Line,SeaSpray Wave SRL Solutions
ownership,0.81104785,png xi  Line,SeaSpray Wave SRL Solutions
family_relationship,0.8094637,png xi  Line,801809
ownership,0.83771926,png xi  Line,58745
family_relationship,0.8398595,png xi  Line,Andrew Gamble
partnership,0.84103864,png xi  Line,21240092
ownership,0.9077821,png xi  Line,7505050
family_relationship,0.87236196,png xi  Line,West Bengal S.A. de C.V.
partnership,0.85054475,png xi  Line,West Bengal S.A. de C.V.
membership,0.8436701,png xi  Line,b47086b0-e225-436a-83b1-2cf5cda4dbd5
family_relationship,0.87669283,png xi  Line,2913
membership,0.8383663,png xi  Line,Daniel Wood
ownership,0.80862314,png xi  Line,Saturday
membership,0.8375661,png xi  Line,2751
membership,0.8386882,png xi  Line,Alan Wells
membership,0.8695913,png xi  Line,Kelly Brown
partnership,0.8093867,png xi  Line,Jeremy Norris
membership,0.8272208,png xi  Line,759
ownership,0.8873191,png xi  Line,Amanda Mckenzie
partnership,0.8512648,png xi  Line,Amanda Mckenzie
ownership,0.8095694,png xi  Line,Amanda Mckenzie
partnership,0.8283236,png xi  Line,âdisasterâ
partnership,0.8915244,png xi  Line,Jonathan Garner
membership,0.81960374,png xi  Line,DOFâs
ownership,0.94744104,png xi  Line,Patricia Bowen
ownership,0.9400678,png xi  Line,Patricia Bowen
family_relationship,0.84387016,png xi  Line,Patricia Bowen
membership,0.9219451,png xi  Line,Dana Goodwin
family_relationship,0.80473953,png xi  Line,Mar del Oeste Pic
partnership,0.8645436,png xi  Line,Mar del Oeste Pic
ownership,0.8007748,png xi  Line,Mar del Oeste Pic
membership,0.8391811,png xi  Line,Mar del Oeste Pic
membership,0.91722935,png xi  Line,Mar del Oeste Pic
ownership,0.84893763,png xi  Line,Mar del Oeste Pic
ownership,0.8025387,png xi  Line,Mar del Oeste Pic
membership,0.855668,png xi  Line,Mar del Oeste Pic
membership,0.8410738,png xi  Line,Mar del Oeste Pic
membership,0.9494088,png xi  Line,Mar del Oeste Pic
family_relationship,0.88016313,png xi  Line,Jonathan Spence
membership,0.80880195,png xi  Line,Ann Flowers
membership,0.87267876,png xi  Line,95c715ba-891e-4472-8e2a-4e746dcc266a
partnership,0.8651398,png xi  Line,Dennis Little
membership,0.81443495,png xi  Line,5235138
family_relationship,0.89251685,png xi  Line,Andrea Gibson
membership,0.804876,png xi  Line,Andrea Gibson
ownership,0.85960037,png xi  Line,Seafood
membership,0.8469131,png xi  Line,Seafood
membership,0.8347509,png xi  Line,1
partnership,0.8111745,png xi  Line,1
membership,0.87186855,png xi  Line,Daniel Mason
membership,0.844537,png xi  Line,Daniel Mason
membership,0.864989,png xi  Line,Daniel Snyder
partnership,0.8563499,png xi  Line,20370602035941
partnership,0.940472,png xi  Line,Diana Kelley
family_relationship,0.9270261,png xi  Line,DECEUNINCK
membership,0.82683074,png xi  Line,William James
membership,0.85219026,png xi  Line,75471
membership,0.8558293,png xi  Line,Madeline Collins
partnership,0.8736872,png xi  Line,âTrials
partnership,0.88534945,png xi  Line,âTrials
membership,0.8160937,png xi  Line,933754160
ownership,0.84536153,png xi  Line,Laurie Mclaughlin
membership,0.8749518,png xi  Line,760079
membership,0.82412016,png xi  Line,BPâs
membership,0.85698265,png xi  Line,Stacey Ortiz
membership,0.8088853,png xi  Line,salmon
partnership,0.89368194,png xi  Line,FLIP MCGYVER Tradema
ownership,0.8264099,png xi  Line,47249
family_relationship,0.8904308,png xi  Line,waterâ
ownership,0.8463414,png xi  Line,Master
family_relationship,0.8477223,png xi  Line,032522db-8105-4c26-8142-ae9d5806f7c5
family_relationship,0.89689624,png xi  Line,032522db-8105-4c26-8142-ae9d5806f7c5
membership,0.802257,png xi  Line,Michael Brock
membership,0.91182107,png xi  Line,Dana Knapp
ownership,0.85804224,png xi  Line,Lisa Castaneda
partnership,0.8763445,png xi  Line,Shellfish Chile SA
membership,0.9236952,png xi  Line,6204
membership,0.8512174,png xi  Line,Perch
ownership,0.85711944,png xi  Line,IPOS0000DOP
ownership,0.8396885,png xi  Line,Pesquera
ownership,0.8127208,png xi  Line,5680682
family_relationship,0.9147678,png xi  Line,a0ea93dc-6767-4682-b424-21b5a24ea24b
membership,0.95475227,png xi  Line,Kariba Dam  Corporation Nautical
membership,0.85077244,png xi  Line,59
family_relationship,0.88571006,png xi  Line,Ruben Fowler
partnership,0.80569786,png xi  Line,Morgan Black
ownership,0.865495,png xi  Line,Michelle Jackson
ownership,0.90446645,png xi  Line,Stephen Marks
ownership,0.90890276,png xi  Line,Stephen Marks
membership,0.81906825,png xi  Line,John Avila
partnership,0.8130831,png xi  Line,Simien Mountains  Company Delivery
partnership,0.89097804,png xi  Line,82379
ownership,0.9013123,png xi  Line,Philip Murphy
membership,0.8548082,png xi  Line,979893388
partnership,0.8555676,png xi  Line,The Salty Pearl River S.p.A. Export
partnership,0.8791881,png xi  Line,Michael Chen
membership,0.8305391,png xi  Line,electric
membership,0.8982665,png xi  Line,electric
ownership,0.8504342,png xi  Line,Amanda Rogers
ownership,0.86422884,png xi  Line,Miranda Long
membership,0.8127843,png xi  Line,23837996
partnership,0.80170906,png xi  Line,FinestSea Ltd. Corporation Enterprises
membership,0.84965277,png xi  Line,80191
ownership,0.82967836,png xi  Line,Kilimanjaro fishery Ltd. Liability Co Transport
ownership,0.80904883,png xi  Line,Faurtil FÃ¡brica Urnas TietÃª
ownership,0.89745307,png xi  Line,309535101
membership,0.8635392,png xi  Line,Tiffany Leonard
ownership,0.8558595,png xi  Line,f64e747e-13de-4628-b939-92a8ff4eb03f
membership,0.82917875,png xi  Line,July 2036
partnership,0.9146237,png xi  Line,Jerry Welch
partnership,0.8130199,png xi  Line,Jerry Welch
partnership,0.81704164,png xi  Line,Martin Bryant
membership,0.90947497,png xi  Line,Martin Bryant
ownership,0.8328425,png xi  Line,Martin Bryant
partnership,0.81828177,png xi  Line,Kerala Market Corp Consulting
partnership,0.9135672,png xi  Line,Kerala Market Corp Consulting
membership,0.8354032,png xi  Line,940161722
family_relationship,0.8399092,png xi  Line,Sudd Swamp  Wave AS Freight 
partnership,0.8493036,png xi  Line,89772543
partnership,0.8887363,png xi  Line,6083f325-5f17-4d41-9c22-f188f55ea9f3
ownership,0.8385158,png xi  Line,Amanda Jenkins
partnership,0.8526606,png xi  Line,858
ownership,0.8684655,png xi  Line,Kimberly Williams
ownership,0.82696086,png xi  Line,491
membership,0.8088604,png xi  Line,Seabreeze Foods Corporation Logistics
membership,0.8463882,png xi  Line,Temuâs
ownership,0.857234,png xi  Line,Firearms Explosives
ownership,0.8692191,png xi  Line,Randall Martinez
membership,0.85648346,png xi  Line,d4b66d04-ad3c-425a-a123-00e589b86a52
family_relationship,0.8919761,png xi  Line,Mary Lucas
ownership,0.8925048,png xi  Line,âDo
ownership,0.8142025,png xi  Line,dbb07e32-a8f4-47d0-ae61-c2e9774e9284
ownership,0.8637719,png xi  Line,dbb07e32-a8f4-47d0-ae61-c2e9774e9284
partnership,0.90901417,png xi  Line,Hannah Ray
membership,0.8224375,png xi  Line,Nicholas King
membership,0.89523274,png xi  Line,011ad1ae-ae1b-4c74-9f58-c020e6a3e836
